food_name,protein,iron,vitamin_c,vitamin_d,fiber,category,health_score
apple juice,0.1,0.1,1.0,0.0,0.2,beverage,2.3
black coffee,0.3,0.0,0.0,0.0,0.0,beverage,2.3
coconut water,0.7,0.3,2.0,0.0,0.5,beverage,2.4
coffee,0.3,0.0,0.0,0.0,0.0,beverage,2.3
cola,0.0,0.0,0.0,0.0,0.0,beverage,1.0
filter coffee,0.5,0.1,0.0,0.0,0.0,beverage,2.3
fruit punch,0.4,0.2,30.0,0.0,0.5,beverage,2.6
grape juice,0.4,0.2,20.0,0.0,0.1,beverage,2.4
green tea,0.0,0.0,0.0,0.0,0.0,beverage,2.3
iced tea,0.1,0.1,5.0,0.0,0.0,beverage,2.3
lemon juice,0.4,0.6,40.0,0.0,0.3,beverage,2.6
masala chai,2.0,0.2,0.0,1.0,0.0,beverage,2.5
orange juice,0.7,0.2,50.0,0.0,0.2,beverage,2.6
pepsi,0.0,0.0,0.0,0.0,0.0,beverage,1.0
tea,2.0,0.1,0.0,1.0,0.0,beverage,2.5
almond milk,0.6,0.2,0.0,1.5,0.0,dairy,2.3
badam milk,5.0,1.0,2.0,2.0,1.0,dairy,3.0
badam shake,6.0,1.0,2.0,2.0,1.0,dairy,3.1
banana shake,4.0,0.5,10.0,2.0,2.0,dairy,3.1
butter,0.9,0.0,0.0,7.0,0.0,dairy,2.4
buttermilk,3.0,0.1,2.0,1.5,0.0,dairy,2.6
chaas,3.0,0.1,2.0,1.5,0.0,dairy,2.6
cheese,25.0,0.7,0.0,5.0,0.0,dairy,4.9
chocolate milkshake,5.0,0.5,0.0,2.0,1.0,dairy,3.0
cream,2.0,0.1,0.0,3.0,0.0,dairy,2.5
curd,3.5,0.1,1.0,2.0,0.0,dairy,2.6
ghee,0.0,0.0,0.0,8.0,0.0,dairy,2.3
mango shake,4.0,0.5,15.0,2.0,2.0,dairy,3.1
milk,3.4,0.1,0.0,2.5,0.0,dairy,2.6
paneer,18.0,0.2,0.0,5.0,0.0,dairy,4.1
peda,4.5,0.5,0.0,2.0,0.5,dairy,2.8
rose milk,3.5,0.5,1.0,2.0,0.0,dairy,2.7
salt lassi,3.5,0.1,2.0,2.0,0.0,dairy,2.7
sandesh,5.0,0.5,0.0,2.0,0.5,dairy,2.9
skim milk,3.4,0.1,0.0,1.0,0.0,dairy,2.6
soy milk,3.3,1.0,0.0,2.0,0.0,dairy,2.6
turmeric milk,3.5,0.2,1.0,2.0,0.0,dairy,2.7
yogurt,3.5,0.1,1.0,2.0,0.0,dairy,2.6
aam panna,1.0,0.5,20.0,0.0,1.0,fruit,3.2
apple,0.3,0.1,5.0,0.0,2.4,fruit,3.2
apricot,1.4,0.4,10.0,0.0,2.0,fruit,3.3
avocado,1.5,0.6,10.0,0.0,6.7,fruit,4.0
banana,1.1,0.3,9.0,0.0,2.6,fruit,3.4
blackberry,1.4,0.6,21.0,0.0,5.3,fruit,3.9
blueberry,0.7,0.3,10.0,0.0,2.4,fruit,3.3
cherry,1.1,0.4,7.0,0.0,2.1,fruit,3.3
coconut,1.5,2.4,3.0,0.0,9.0,fruit,4.4
custard apple,1.5,0.6,19.0,0.0,2.4,fruit,3.4
dates,1.5,1.0,0.0,0.0,6.7,fruit,4.0
dragon fruit,1.2,0.4,3.0,0.0,1.8,fruit,3.2
figs,0.8,0.4,2.0,0.0,2.9,fruit,3.3
fruit chaat,1.5,0.5,35.0,0.0,3.0,fruit,3.6
fruit salad,1.5,0.5,30.0,0.0,3.0,fruit,3.6
grapes,0.6,0.4,10.0,0.0,0.9,fruit,3.1
guava,1.5,0.3,228.0,0.0,5.4,fruit,5.0
jackfruit,1.5,0.6,14.0,0.0,1.5,fruit,3.3
kiwi,1.1,0.3,93.0,0.0,3.0,fruit,3.9
lemon,1.1,0.6,53.0,0.0,2.8,fruit,3.6
lime,0.7,0.6,29.0,0.0,2.8,fruit,3.5
